address,rent,BR,Ba,sqft,url,source
"33 Paul Robeson Blvd, New Brunswick, NJ 08901","1,992",2,2,929,https://cnj.craigslist.org/apa/d/new-brunswick-special-1000-off-first/7898515613.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1992,3,2,929,https://cnj.craigslist.org/apa/d/new-brunswick-special-1000-off-first/7898515613.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901","1,663",1,1,727,https://cnj.craigslist.org/apa/d/new-brunswick-special-1000-off-first/7898515166.html,craigslist
"620 Somerset St, New Brunswick, NJ 08901",3100,3,2,1071,https://cnj.craigslist.org/apa/d/new-brunswick-fully-renovated-house-for/7898393039.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1992,2,2,939,https://cnj.craigslist.org/apa/d/new-brunswick-affordable-bedroom/7898338014.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1663,1,1,727,https://cnj.craigslist.org/apa/d/new-brunswick-affordable-bedroom/7898337416.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1663,1,1,727,https://cnj.craigslist.org/apa/d/new-brunswick-bedroom-apartemnt/7898047400.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1992,2,2,939,https://cnj.craigslist.org/apa/d/new-brunswick-1000-off-first-month-rent/7898046270.html,craigslist
"1 CHESTER CIR, NEW BRUNSWICK CITY, NJ 08901",1890,1,1,620,https://cnj.craigslist.org/apa/d/new-brunswick-leaves-are-falling-so-are/7890429512.html,craigslist
"1 CHESTER CIR, NEW BRUNSWICK CITY, NJ 08901",1900,1,1,531,https://cnj.craigslist.org/apa/d/new-brunswick-move-in-deal-free-1st/7897167695.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1663,1,1,727,https://cnj.craigslist.org/apa/d/new-brunswick-1000-off-your-first-month/7896693909.htmll,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1992,1,2,939,https://cnj.craigslist.org/apa/7896692864.html,craigslist
"300 Block Townsend St Unit 1, New Brunswick, NJ 08901",2500,1,2,800,https://cnj.craigslist.org/apa/7896620000.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1992,2,1,939,https://cnj.craigslist.org/apa/7896405992.html,craigslist
"33 Paul Robeson Blvd, New Brunswick, NJ 08901",1663,1,1,727,https://cnj.craigslist.org/apa/7896407095.html,craigslist
"515 Bound Brook Rd, Dunellen, NJ 08812",1800,1,1,900,https://cnj.craigslist.org/apa/d/dunellen-bedroom-bathroom-apartment/7890532205.html,craigslist
"7 Livingston Ave New Brunswick, NJ 08901",2397,0,1,439,https://www.trulia.com/building/premiere-residences-7-livingston-ave-new-brunswick-nj-08901-2750788862,Premiere Residences
"7 Livingston Ave New Brunswick, NJ 08901",2827,1,1,653,https://www.trulia.com/building/premiere-residences-7-livingston-ave-new-brunswick-nj-08901-2750788862,Premiere Residences
